SSN,Longitude,Latitude,Country,Site,Cluster,Profile,Depth,Clay_8um,CORG,pH,Alox,Feox,Caex,MAT,MAP,PET,CIA,LandCover
icr006627,36.4863,-6.09622,Tanzania,Pandambili,10,1,Subsoil,47.831,0.38,5.56,0.107825456,0.103471046,2.25,21.87499996,593,1787,91.70526378,Grassland
icr006684,36.5064,-6.12214,Tanzania,Pandambili,13,1,Topsoil,4.63,0.7,6.59,0.11546435,0.123844941,2.81,21.7166667,598,1790,90.76478078,Grassland
icr006704,36.50844955,-6.09060001,Tanzania,Pandambili,14,1,Topsoil,59.095,0.67,6.58,0.145663298,0.169882113,2.87,21.70416673,606,1767,86.85461593,Other
icr006705,36.50844955,-6.09060001,Tanzania,Pandambili,14,1,Subsoil,43.363,0.5,6.39,0.154686171,0.188954095,4.08,21.70416673,606,1767,89.21149903,Other
icr006725,36.5067,-6.07987,Tanzania,Pandambili,15,1,Subsoil,1.662,0.45,4.84,0.226785918,0.121547696,1.53,21.75416664,599,1768,95.94497727,Grassland
icr006745,36.5135,-6.05373,Tanzania,Pandambili,16,1,Subsoil,22.653,0.28,4.98,0.130216265,0.055365995,0.38,21.52083333,608,1752,93.10882159,Grassland
icr007851,37.46857452,-5.33592987,Tanzania,Kiberashi,7,1,Subsoil,3.917,0.18,5.58,0.029323528,0.016899737,0.05,20.21666654,821,1462,81.64134973,Other
icr007987,37.50985718,-5.35679007,Tanzania,Kiberashi,14,1,Topsoil,63.673,0.92,6.16,0.309931116,0.194526897,4.82,20.61249999,843,1473,93.21902923,Cropland
icr020848,37.26938248,-8.07403278,Tanzania,Kidatu,1,1,Topsoil,12.535,0.56,5.71,0.024682231,0.057851722,0.87,25.07499997,1423,1667,89.62659422,Other
icr020888,37.27035141,-8.02105045,Tanzania,Kidatu,3,1,Topsoil,24.936,0.87,5.12,0.08847275,0.115812452,0.76,25.05000011,1433,1673,96.04238922,Grassland
icr020889,37.27035141,-8.02105045,Tanzania,Kidatu,3,1,Subsoil,42.876,0.46,4.74,0.185904173,0.16348131,1.12,25.05000011,1433,1673,97.19240096,Grassland
icr020909,37.27236938,-8.00080681,Tanzania,Kidatu,4,1,Subsoil,37.694,0.42,6.09,0.234441356,0.090924366,1.64,25.0875001,1428,1677,93.9645032,Other
icr020947,37.295681,-8.04761505,Tanzania,Kidatu,6,1,Topsoil,14.52,0.71,5.67,0.035276739,0.058194665,1.24,24.96666686,1414,1666,89.55476076,Other
icr020970,37.29229736,-8.02381229,Tanzania,Kidatu,7,3,Topsoil,23.15,1.08,6.62,0.070212205,0.058899318,3.86,25.0041666,1427,1665,74.56953957,Other
icr020971,37.29229736,-8.02381229,Tanzania,Kidatu,7,3,Subsoil,20.634,0.3,6.61,0.072110762,0.043745064,1.56,25.0041666,1427,1665,80.98490746,Other
icr020986,37.29563904,-8.00173283,Tanzania,Kidatu,8,1,Topsoil,11.084,0.66,6.54,0.050187527,0.034056472,2.48,25.01249997,1428,1672,77.21460372,Other
icr021005,37.31658554,-8.06768513,Tanzania,Kidatu,9,1,Subsoil,32.311,0.48,6.21,0.129657118,0.111386124,1.55,24.9375,1407,1669,92.52000734,Other
icr021063,37.31461716,-8.00514507,Tanzania,Kidatu,12,1,Topsoil,19.668,1.13,6.49,0.1164983,0.0801756,4,24.95416673,1432,1663,85.13036346,Other
icr021064,37.31461716,-8.00514507,Tanzania,Kidatu,12,1,Subsoil,21.287,0.42,6.69,0.0528969,0.0410708,1.28,24.95416673,1432,1663,93.81070104,Other
icr021084,37.33062744,-8.07075501,Tanzania,Kidatu,13,1,Subsoil,11.064,0.21,4.95,0.067366,0.0505894,0.28,25.13333344,1384,1682,95.5173627,Other
icr021103,37.33369827,-8.04930496,Tanzania,Kidatu,14,1,Topsoil,15.71,0.57,5.75,0.0392506,0.0411586,1.16,25.07499997,1403,1667,87.95144158,Other
icr021104,37.33369827,-8.04930496,Tanzania,Kidatu,14,1,Subsoil,19.024,0.25,5.27,0.0861361,0.0448623,0.71,25.07499997,1403,1667,91.55055872,Other
icr021123,37.33749771,-8.02354813,Tanzania,Kidatu,15,1,Topsoil,19.971,0.59,6.52,0.0202292,0.0375163,2.59,25.0250001,1408,1668,73.76346401,Other
icr024869,34.1724205,-6.92843294,Tanzania,Itende,1,3,Subsoil,28.178,0.47,6.2,0.10433,0.0371223,0.89,21.99999988,637,1976,91.22013643,Other
icr024994,34.19452667,-6.859828,Tanzania,Itende,8,3,Topsoil,26.862,0.65,6.3,0.101389,0.0393158,1.22,21.82499997,633,1968,89.92252346,Other
icr025016,34.21570587,-6.90416813,Tanzania,Itende,10,1,Topsoil,11.113,0.67,5.61,0.0758357,0.0566743,2.29,22.00416656,631,1982,90.9808602,Other
icr024918,34.18169403,-6.86510992,Tanzania,Itende,4,1,Subsoil,7.682,0.18,6.14,0.0367616,0.0259337,0.39,21.89999974,633,1971,85.1117876,Other
icr024956,34.19247818,-6.91006517,Tanzania,Itende,6,1,Topsoil,28.932,0.65,6.35,0.1292797,0.0520252,2.1,21.9416666,632,1978,91.4816398,Other
icr024957,34.19247818,-6.91006517,Tanzania,Itende,6,1,Subsoil,29.207,0.34,5.58,0.1862617,0.0666207,0.48,21.9416666,632,1978,95.58035157,Other
icr024976,34.19307327,-6.87918282,Tanzania,Itende,7,2,Topsoil,15.384,0.7,6.48,0.0551835,0.0231651,2.2,21.98750003,629,1980,82.12049897,Other
icr024977,34.19307327,-6.87918282,Tanzania,Itende,7,2,Subsoil,14.406,0.32,6.12,0.062896,0.0264015,0.68,21.98750003,629,1980,86.53833734,Other
icr024995,34.19452667,-6.859828,Tanzania,Itende,8,3,Subsoil,30.164,0.33,5.82,0.1459139,0.0573761,0.44,21.82499997,633,1968,93.36771265,Other
icr025056,34.21279907,-6.85391283,Tanzania,Itende,12,1,Subsoil,19.312,0.26,6.41,0.0868051,0.025892,0.56,22.01666677,629,1976,89.41375917,Other
icr025112,34.24555969,-6.87730789,Tanzania,Itende,15,1,Subsoil,22.663,0.36,6.37,0.1379165,0.0466756,1.85,22.21250029,621,1997,92.10048783,Other
icr030027,34.98209381,8.5800066,Ethiopia,Dambidolo,1,2,Subsoil,87.428,4.56,5.51,0.7727683,0.4175209,10.15,20.61666679,1360,1715,96.51766233,Cropland
icr030033,34.9807663,8.57913685,Ethiopia,Dambidolo,1,6,Topsoil,81.608,6.63,6.08,0.5914235,0.4809353,26.41,20.61666679,1360,1715,91.56573308,Cropland
icr030036,34.98288345,8.57382202,Ethiopia,Dambidolo,1,7,Subsoil,79.307,3.98,6.05,0.5784687,0.6995434,23.22,21.11666663,1350,1729,91.5304397,Other
icr030037,34.98114777,8.57438183,Ethiopia,Dambidolo,1,8,Topsoil,75.633,7.08,6.14,0.518274,0.6411704,31.49,21.11666663,1350,1729,87.05712658,Cropland
icr030039,34.98508835,8.58037663,Ethiopia,Dambidolo,1,9,Topsoil,76.219,7.08,6.15,0.6350314,0.6644903,22.34,21.01666677,1357,1730,91.35330637,Other
icr030042,34.983284,8.57633019,Ethiopia,Dambidolo,1,10,Subsoil,20.489,0.91,6.04,0.1034287,0.0606406,2.54,20.61666679,1360,1715,79.54175315,Other
icr030043,34.98501205,8.60079002,Ethiopia,Dambidolo,2,1,Topsoil,77.1985,7.24,6.59,0.40438,0.380558,33.68,21.1499999,1357,1736,86.22060874,Cropland
icr030052,34.98833084,8.60195828,Ethiopia,Dambidolo,2,6,Subsoil,79.783,3.41,5.95,0.3313853,0.4372329,19.67,21.1499999,1357,1736,93.37478625,Cropland
icr030055,34.98197937,8.60019302,Ethiopia,Dambidolo,2,8,Topsoil,76.401,5.73,5.84,0.3163318,0.6938327,21.82,20.85000002,1360,1728,93.1058568,Cropland
icr030063,34.98375702,8.6298523,Ethiopia,Dambidolo,3,1,Topsoil,60.414,8.67,7.2,0.2087414,0.6995436,43.6,21.38333333,1346,1750,75.30576899,Cropland
icr030082,34.98033905,8.6254549,Ethiopia,Dambidolo,3,10,Subsoil,94.313,5.04,5.66,0.3751699,0.3182636,18.1,21.3083334,1344,1746,94.14774071,Cropland
icr030083,34.98785019,8.65487957,Ethiopia,Dambidolo,4,1,Topsoil,78.5685,7.83,6.44,0.2980468,0.2766293,33.8,21.2458334,1354,1746,87.00878695,Cropland
icr030088,34.98623657,8.64857292,Ethiopia,Dambidolo,4,3,Subsoil,74.347,4.53,5.29,0.1478378,1.0977893,23.25,21.31249996,1352,1748,89.42267578,Cropland
icr030113,35.00011444,8.58142185,Ethiopia,Dambidolo,5,7,Topsoil,46.932,1.64,6.74,0.0642954,0.1315456,15.94,22.47916679,1306,1784,74.16150256,Other
icr030114,35.00011444,8.58142185,Ethiopia,Dambidolo,5,7,Subsoil,47.468,2.95,6.15,0.0577521,0.1295764,10.43,22.47916679,1306,1784,68.8781526,Other
icr030118,35.00162888,8.57494164,Ethiopia,Dambidolo,5,9,Subsoil,50.653,1.4,5.67,0.1593703,0.0978117,6.12,22.40416666,1313,1781,79.94729345,Cropland
icr030119,35.00792694,8.57952976,Ethiopia,Dambidolo,5,10,Topsoil,58.924,2.94,6.84,0.1124342,0.1556786,18.29,22.47916679,1306,1784,77.15490278,Cropland
icr030124,35.00059891,8.59928799,Ethiopia,Dambidolo,6,2,Subsoil,46.31,1.2,5.85,0.1029911,0.0925169,4.67,21.71666658,1345,1757,86.31559822,Cropland
icr030126,34.9997139,8.59727001,Ethiopia,Dambidolo,6,3,Subsoil,88.302,5.38,6.3,0.3023652,0.2350354,25.54,21.39999994,1351,1743,90.440562,Cropland
icr030127,34.99979401,8.59832192,Ethiopia,Dambidolo,6,5,Topsoil,76.985,3.87,6.48,0.1765092,0.1894527,19.99,21.39999994,1351,1743,84.79816834,Cropland
icr030128,34.99979401,8.59832192,Ethiopia,Dambidolo,6,5,Subsoil,76.015,2.35,6.24,0.187824,0.178213,10.56,21.39999994,1351,1743,88.0932167,Cropland
icr030129,34.9989624,8.60032272,Ethiopia,Dambidolo,6,6,Topsoil,62.187,1.86,7.17,0.0868093,0.0936604,8.29,21.43750008,1349,1746,82.6012294,Cropland
icr030131,35.00479126,8.60511303,Ethiopia,Dambidolo,6,7,Topsoil,62.024,2.78,6.85,0.0983233,0.1480675,13.41,21.70833321,1348,1758,82.98921566,Cropland
icr030132,35.00479126,8.60511303,Ethiopia,Dambidolo,6,7,Subsoil,76.098,4.02,5.86,0.1441459,0.1592886,7.97,21.70833321,1348,1758,89.01411829,Cropland
icr030133,34.99936295,8.6012516,Ethiopia,Dambidolo,6,8,Topsoil,61.871,1.62,7.5,0.1435249,0.2091756,17.24,21.43750008,1349,1746,78.74385502,Cropland
icr030134,34.99936295,8.6012516,Ethiopia,Dambidolo,6,8,Subsoil,74.666,2.16,7.31,0.089701,0.1342239,8.81,21.43750008,1349,1746,86.12761672,Cropland
icr030137,34.99982834,8.60101509,Ethiopia,Dambidolo,6,10,Topsoil,61.952,2.84,6.96,0.0971589,0.1574395,14.16,21.43750008,1349,1746,84.30080808,Cropland
icr030138,34.99982834,8.60101509,Ethiopia,Dambidolo,6,10,Subsoil,74.787,1.9,6.14,0.1293328,0.1522624,10.45,21.43750008,1349,1746,89.1065595,Cropland
icr030139,35.00350189,8.60509205,Ethiopia,Dambidolo,6,12,Topsoil,60.064,3.42,7.38,0.1077538,0.1793697,20.96,21.70833321,1348,1758,81.12693013,Cropland
icr030144,35.00778198,8.62714481,Ethiopia,Dambidolo,7,1,Subsoil,75.801,2.68,5.79,0.2064773,0.381003,16.13,21.70833333,1341,1763,91.95957404,Cropland
icr030145,35.00531006,8.62525272,Ethiopia,Dambidolo,7,2,Topsoil,86.746,4.37,6.08,0.2655546,0.4097371,20.18,21.70833333,1341,1763,92.34591336,Cropland
icr030146,35.00531006,8.62525272,Ethiopia,Dambidolo,7,2,Subsoil,89.896,2.86,5.8,0.284844,0.3408566,13.65,21.70833333,1341,1763,95.02487245,Cropland
icr030148,35.00242233,8.62542725,Ethiopia,Dambidolo,7,3,Subsoil,82.588,4,5.92,0.291738,0.623933,21.28,21.70833333,1341,1763,91.48264841,Cropland
icr030150,35.00883102,8.62879467,Ethiopia,Dambidolo,7,4,Subsoil,72.824,1.73,6,0.1445358,0.1434468,11.26,21.88333337,1342,1772,78.86591739,Cropland
icr030168,35.0015564,8.6486969,Ethiopia,Dambidolo,8,3,Subsoil,83.216,4.11,5.41,0.3671584,0.2659719,8.85,21.56666672,1349,1759,95.97752289,Cropland
icr030170,34.99902344,8.64767265,Ethiopia,Dambidolo,8,4,Subsoil,73.123,3.18,4.8,0.173425,0.789064,9.1,21.47499994,1348,1758,93.98159385,Grassland
icr030174,35.00031281,8.64685726,Ethiopia,Dambidolo,8,7,Topsoil,61.199,6.08,5.58,0.1405865,1.261007,25.38,21.56666672,1349,1759,86.43721342,Grassland
icr030176,35.0014534,8.64603329,Ethiopia,Dambidolo,8,8,Topsoil,77.125,6.8,5.51,0.2267086,1.066458,29.74,21.56666672,1349,1759,87.02615335,Cropland
icr030179,35.00502396,8.64300156,Ethiopia,Dambidolo,8,9,Subsoil,83.077,4.08,5.27,0.2143295,0.594466,19.34,21.56666672,1349,1759,91.72021278,Grassland
icr030181,35.02316666,8.57740307,Ethiopia,Dambidolo,9,2,Topsoil,41.319,2.69,6.38,0.0674232,0.061962,9.5,22.60833327,1311,1790,72.17750273,Grassland
icr030185,35.02774811,8.57848167,Ethiopia,Dambidolo,9,6,Topsoil,27.695,1.8,6.66,0.0368755,0.0288877,5.53,22.20833317,1336,1773,77.81256365,Other
icr030187,35.02754593,8.57979488,Ethiopia,Dambidolo,9,7,Subsoil,31.324,1.28,5.83,0.063767,0.0777048,5.41,22.20833317,1336,1773,80.98519334,Other
icr030190,35.0256424,8.58047676,Ethiopia,Dambidolo,9,12,Topsoil,49.846,2.68,6.4,0.1109321,0.0976429,9.66,22.20833317,1336,1773,75.0031691,Grassland
icr030191,35.0256424,8.58047676,Ethiopia,Dambidolo,9,12,Subsoil,53.457,1.51,5.89,0.1224149,0.0994581,6.07,22.20833317,1336,1773,75.58824318,Grassland
icr030192,35.02373886,8.57610512,Ethiopia,Dambidolo,9,13,Topsoil,45.024,1.79,5.64,0.0906541,0.0551139,4.69,22.60833327,1311,1790,79.80095071,Grassland
icr030195,35.02318954,8.57945728,Ethiopia,Dambidolo,9,14,Subsoil,56.903,2.22,6.3,0.1022402,0.125613,11.92,22.60833327,1311,1790,74.60554739,Other
icr030203,35.02398682,8.60041523,Ethiopia,Dambidolo,10,3,Subsoil,85.458,1.2,5.77,0.1023523,0.0729571,16.55,21.51666673,1361,1752,90.65478673,Cropland
icr030206,35.02694702,8.60710716,Ethiopia,Dambidolo,10,5,Topsoil,58.116,2.19,6.24,0.0960686,0.0845581,9.68,21.58750014,1362,1752,87.06785302,Cropland
icr030207,35.02694702,8.60710716,Ethiopia,Dambidolo,10,5,Subsoil,74.489,1.26,5.86,0.3360206,0.1773018,4.76,21.58750014,1362,1752,94.25008705,Cropland
icr030209,35.02050018,8.6069603,Ethiopia,Dambidolo,10,6,Subsoil,91.113,4.53,6.02,0.2929629,0.385702,21.98,21.51666673,1361,1752,92.5936037,Cropland
